Weekday_Sensible Weekday_Latent Weekday_Occupancy Weekend_Sensible Weekend_Latent Weekend_Occupancy
0.00074533 0.00072075 0.29 0.00085246 0.00099477 0.67
0.0007384 0.00071114 0.29 0.00084718 0.00098873 0.67
0.00073165 0.00070176 0.29 0.000842 0.00098279 0.67
0.00072506 0.00069262 0.29 0.00083694 0.00097695 0.67
0.00071864 0.00068372 0.29 0.00083198 0.00097121 0.67
0.00071239 0.00067505 0.29 0.00082712 0.00096557 0.67
0.00070631 0.00066661 0.29 0.00082238 0.00096003 0.67
0.0007004 0.00065841 0.29 0.00081774 0.00095459 0.67
0.00069465 0.00065045 0.29 0.00081321 0.00094925 0.67
0.00068908 0.00064272 0.29 0.00080878 0.00094402 0.67
0.00068367 0.00063523 0.29 0.00080446 0.00093888 0.67
0.00067844 0.00062797 0.29 0.00080025 0.00093385 0.67
0.00067337 0.00062095 0.29 0.00079615 0.00092891 0.67
0.00066847 0.00061416 0.29 0.00079215 0.00092408 0.67
0.00066374 0.00060761 0.29 0.00078826 0.00091934 0.67
0.00065917 0.0006013 0.29 0.00078448 0.00091471 0.67
0.00065478 0.00059522 0.29 0.00078081 0.00091018 0.67
0.00065055 0.00058938 0.29 0.00077724 0.00090575 0.67
0.0006465 0.00058377 0.29 0.00077378 0.00090142 0.67
0.00064261 0.0005784 0.29 0.00077042 0.00089719 0.67
